year,maker,vehicle_category,total,,
2023,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,TWO WHEELER,257,,
2023,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,TWO WHEELER,6,910,
2023,WARIVO MOTOR INDIA PVT LTD,TWO WHEELER,1,,
2023,WHITE CARBON MOTORS PVT LTD,TWO WHEELER,42,,
2023,WUXI DONGMA (IMPORTER: DYNAM PRECISION),TWO WHEELER,15,,
2023,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),TWO WHEELER,275,,
2023,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),TWO WHEELER,4,,
2023,WUXI NOOMA (IMPORTER: SMARTNK ELECTRIC VEHICLE),TWO WHEELER,10,,
2023,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),TWO WHEELER,182,,
2023,WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),TWO WHEELER,54,,
2023,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),TWO WHEELER,68,,
2023,WUXI SAIGE (IMPORTER: ELECTRO-TECH),TWO WHEELER,8,,
2023,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),TWO WHEELER,15,,
2023,WUXI SAIGE (IMPORTER: NGAGE IMPEX),TWO WHEELER,2,,
2023,WUXI SAIGE (IMPORTER: WARIVO MOTOR),TWO WHEELER,426,,
2023,WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),TWO WHEELER,4,,
2023,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),TWO WHEELER,1,,
2023,WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),TWO WHEELER,37,,
2023,WUXI TENGHUI (IMPORTER: FEZORA INDIA),TWO WHEELER,35,,
2023,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),TWO WHEELER,72,,
2023,WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),TWO WHEELER,22,,
2023,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),TWO WHEELER,389,,
2023,WUXI TENGHUI (IMPORTER: JAIDKA POWER),TWO WHEELER,8,,
2023,WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),TWO WHEELER,2,,
2023,WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),TWO WHEELER,12,,
2023,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),TWO WHEELER,278,,
2023,WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),TWO WHEELER,17,,
2023,WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),TWO WHEELER,12,,
2023,WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),TWO WHEELER,316,,
2023,YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),TWO WHEELER,16,,
2023,YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),TWO WHEELER,9,,
2023,YANGGUANG LINGMU (IMPORTER: ECOINDIA),TWO WHEELER,4,,
2023,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),TWO WHEELER,61,,
2023,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),TWO WHEELER,27,,
2023,YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),TWO WHEELER,11,,
2023,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),TWO WHEELER,82,,
2023,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),TWO WHEELER,218,,
2023,YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),TWO WHEELER,36,,
2023,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),TWO WHEELER,20,,
2023,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),TWO WHEELER,80,,
2023,YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),TWO WHEELER,2,,
2023,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),TWO WHEELER,128,,
2023,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),TWO WHEELER,32,,
2023,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),TWO WHEELER,70,,
2023,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),TWO WHEELER,260,,
2023,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),TWO WHEELER,45,,
